,X,y,Predict
92,"[0.8977247539319486, 0.8977247539319486, 0.21052631578947345]",0.27840343274568236,62.601868
93,"[0.8977247539319486, 0.21052631578947345, 0.27840343274568236]",0.27840343274568236,64.374596
94,"[0.21052631578947345, 0.27840343274568236, 0.27840343274568236]",0.27840343274568236,59.114334
95,"[0.27840343274568236, 0.27840343274568236, 0.27840343274568236]",0.27840343274568236,59.465157
96,"[0.27840343274568236, 0.27840343274568236, 0.27840343274568236]",0.27840343274568236,59.465157
97,"[0.27840343274568236, 0.27840343274568236, 0.27840343274568236]",0.42105263157894735,59.465157
98,"[0.27840343274568236, 0.27840343274568236, 0.42105263157894735]",0.34730509707802204,60.803654
99,"[0.27840343274568236, 0.42105263157894735, 0.34730509707802204]",0.34730509707802204,60.707806
100,"[0.42105263157894735, 0.34730509707802204, 0.34730509707802204]",0.34730509707802204,60.428886
101,"[0.34730509707802204, 0.34730509707802204, 0.34730509707802204]",0.34730509707802204,60.477272
102,"[0.34730509707802204, 0.34730509707802204, 0.34730509707802204]",0.34730509707802204,60.477272
103,"[0.34730509707802204, 0.34730509707802204, 0.34730509707802204]",0.10526315789473673,60.477272
104,"[0.34730509707802204, 0.34730509707802204, 0.10526315789473673]",0.11312203658254516,58.664597
105,"[0.34730509707802204, 0.10526315789473673, 0.11312203658254516]",0.11312203658254516,58.648056
106,"[0.10526315789473673, 0.11312203658254516, 0.11312203658254516]",0.11312203658254516,57.70595
107,"[0.11312203658254516, 0.11312203658254516, 0.11312203658254516]",0.11312203658254516,57.722603
108,"[0.11312203658254516, 0.11312203658254516, 0.11312203658254516]",0.11312203658254516,57.722603
109,"[0.11312203658254516, 0.11312203658254516, 0.11312203658254516]",0.0,57.722603
110,"[0.11312203658254516, 0.11312203658254516, 0.0]",0.07806798031455564,57.766266
111,"[0.11312203658254516, 0.0, 0.07806798031455564]",0.07806798031455564,57.92211
112,"[0.0, 0.07806798031455564, 0.07806798031455564]",0.07806798031455564,57.74528
113,"[0.07806798031455564, 0.07806798031455564, 0.07806798031455564]",0.07806798031455564,57.881207
114,"[0.07806798031455564, 0.07806798031455564, 0.07806798031455564]",0.07806798031455564,57.881207
115,"[0.07806798031455564, 0.07806798031455564, 0.07806798031455564]",0.21052631578947345,57.881207
116,"[0.07806798031455564, 0.07806798031455564, 0.21052631578947345]",0.22038630435341267,57.49001
117,"[0.07806798031455564, 0.21052631578947345, 0.22038630435341267]",0.22038630435341267,58.047283
118,"[0.21052631578947345, 0.22038630435341267, 0.22038630435341267]",0.22038630435341267,58.509857
119,"[0.22038630435341267, 0.22038630435341267, 0.22038630435341267]",0.22038630435341267,58.574432
120,"[0.22038630435341267, 0.22038630435341267, 0.22038630435341267]",0.22038630435341267,58.574432
121,"[0.22038630435341267, 0.22038630435341267, 0.22038630435341267]",0.3157894736842102,58.574432
122,"[0.22038630435341267, 0.22038630435341267, 0.3157894736842102]",0.29791239688270954,59.225212
123,"[0.22038630435341267, 0.3157894736842102, 0.29791239688270954]",0.29791239688270954,59.432
124,"[0.3157894736842102, 0.29791239688270954, 0.29791239688270954]",0.29791239688270954,59.82
125,"[0.29791239688270954, 0.29791239688270954, 0.29791239688270954]",0.29791239688270954,59.78974
126,"[0.29791239688270954, 0.29791239688270954, 0.29791239688270954]",0.29791239688270954,59.78974
127,"[0.29791239688270954, 0.29791239688270954, 0.29791239688270954]",0.26315789473684204,59.78974
128,"[0.29791239688270954, 0.29791239688270954, 0.26315789473684204]",0.29791239688270954,59.511665
129,"[0.29791239688270954, 0.26315789473684204, 0.29791239688270954]",0.29791239688270954,59.671078
130,"[0.26315789473684204, 0.29791239688270954, 0.29791239688270954]",0.29791239688270954,59.63242
131,"[0.29791239688270954, 0.29791239688270954, 0.29791239688270954]",0.29791239688270954,59.78974
132,"[0.29791239688270954, 0.29791239688270954, 0.29791239688270954]",0.29791239688270954,59.78974
133,"[0.29791239688270954, 0.29791239688270954, 0.29791239688270954]",0.36842105263157876,59.78974
134,"[0.29791239688270954, 0.29791239688270954, 0.36842105263157876]",0.3830526251541939,60.455177
135,"[0.29791239688270954, 0.36842105263157876, 0.3830526251541939]",0.3830526251541939,60.882572
136,"[0.36842105263157876, 0.3830526251541939, 0.3830526251541939]",0.3830526251541939,60.894157
137,"[0.3830526251541939, 0.3830526251541939, 0.3830526251541939]",0.3830526251541939,60.8524
138,"[0.3830526251541939, 0.3830526251541939, 0.3830526251541939]",0.3830526251541939,60.8524
139,"[0.3830526251541939, 0.3830526251541939, 0.3830526251541939]",0.5789473684210522,60.8524
140,"[0.3830526251541939, 0.3830526251541939, 0.5789473684210522]",0.5362034847861841,62.49912
141,"[0.3830526251541939, 0.5789473684210522, 0.5362034847861841]",0.5362034847861841,63.45995
142,"[0.5789473684210522, 0.5362034847861841, 0.5362034847861841]",0.5362034847861841,62.702618
143,"[0.5362034847861841, 0.5362034847861841, 0.5362034847861841]",0.5362034847861841,62.85278
144,"[0.5362034847861841, 0.5362034847861841, 0.5362034847861841]",0.5362034847861841,62.85278
