,X,y,Predict
77,"[61.40778732299805, 61.40778732299805, 61.40778732299805]",[61.40778732299805],58.765694
78,"[61.40778732299805, 61.40778732299805, 61.40778732299805]",[61.40778732299805],58.765694
79,"[61.40778732299805, 61.40778732299805, 61.40778732299805]",[76.0],58.765694
80,"[61.40778732299805, 61.40778732299805, 76.0]",[74.05677032470703],60.9118
81,"[61.40778732299805, 76.0, 74.05677032470703]",[74.05677032470703],73.61289
82,"[76.0, 74.05677032470703, 74.05677032470703]",[74.05677032470703],67.4089
83,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
84,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
85,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
86,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
87,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
88,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
89,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
90,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[74.05677032470703],66.78403
91,"[74.05677032470703, 74.05677032470703, 74.05677032470703]",[61.0],66.78403
92,"[74.05677032470703, 74.05677032470703, 61.0]",[62.28966522216797],62.601868
93,"[74.05677032470703, 61.0, 62.28966522216797]",[62.28966522216797],64.374596
94,"[61.0, 62.28966522216797, 62.28966522216797]",[62.28966522216797],59.114334
95,"[62.28966522216797, 62.28966522216797, 62.28966522216797]",[62.28966522216797],59.465157
96,"[62.28966522216797, 62.28966522216797, 62.28966522216797]",[62.28966522216797],59.465157
97,"[62.28966522216797, 62.28966522216797, 62.28966522216797]",[65.0],59.465157
98,"[62.28966522216797, 62.28966522216797, 65.0]",[63.59879684448242],60.803654
99,"[62.28966522216797, 65.0, 63.59879684448242]",[63.59879684448242],60.707806
100,"[65.0, 63.59879684448242, 63.59879684448242]",[63.59879684448242],60.428886
101,"[63.59879684448242, 63.59879684448242, 63.59879684448242]",[63.59879684448242],60.477272
102,"[63.59879684448242, 63.59879684448242, 63.59879684448242]",[63.59879684448242],60.477272
103,"[63.59879684448242, 63.59879684448242, 63.59879684448242]",[59.0],60.477272
